text,cleaned_text,predicted_sentiment,keywords,subject,object
I love the convenience of booking rides and ordering food in one app!,love convenience booking ride ordering food one app,5,"{'subject': 'love', 'object': 'love convenience booking ride food app'}",love,love convenience booking ride food app
The app’s updates always break something. Needs better testing.,apps update always break something need better testing,1,"{'subject': 'update something', 'object': 'apps update testing'}",update something,apps update testing
The grocery delivery is always fresh and well-packaged.,grocery delivery always fresh wellpackaged,5,"{'subject': 'delivery', 'object': 'grocery delivery'}",delivery,grocery delivery
The app’s payment feature is so fast and secure.,apps payment feature fast secure,5,"{'subject': 'apps', 'object': 'apps payment feature'}",apps,apps payment feature
The app’s customer support is responsive and helpful.,apps customer support responsive helpful,5,"{'subject': 'customer', 'object': 'apps customer responsive'}",customer,apps customer responsive
I love the variety of cuisines available for delivery!,love variety cuisine available delivery,5,"{'subject': 'cuisine', 'object': 'love variety cuisine delivery'}",cuisine,love variety cuisine delivery
The app’s interface is too cluttered and overwhelming.,apps interface cluttered overwhelming,2,"{'subject': 'apps', 'object': 'apps overwhelming'}",apps,apps overwhelming
The ride-hailing feature is so convenient for daily commutes.,ridehailing feature convenient daily commute,4,"{'subject': 'feature', 'object': 'feature commute'}",feature,feature commute
The app’s rewards program is a great way to save money.,apps reward program great way save money,5,"{'subject': 'program', 'object': 'apps program way money'}",program,apps program way money
The food delivery is always late and cold. Not worth it.,food delivery always late cold worth,5,"{'subject': 'food', 'object': 'food delivery'}",food,food delivery
I love how I can track my ride in real-time!,love track ride realtime,5,"{'subject': 'love', 'object': 'love track ride realtime'}",love,love track ride realtime
The app’s login process is seamless and quick.,apps login process seamless quick,5,"{'subject': 'process', 'object': 'apps login process'}",process,apps login process
The grocery delivery is always reliable and fresh.,grocery delivery always reliable fresh,5,"{'subject': 'delivery', 'object': 'grocery delivery'}",delivery,grocery delivery
The app’s design is modern and easy to use.,apps design modern easy use,5,"{'subject': 'apps', 'object': 'apps use'}",apps,apps use
I love the discounts available on ride-hailing!,love discount available ridehailing,4,"{'subject': 'love', 'object': 'love ridehailing'}",love,love ridehailing
The app’s notifications are too intrusive and annoying.,apps notification intrusive annoying,2,"{'subject': 'apps', 'object': 'apps'}",apps,apps
The food delivery is always fast and delicious.,food delivery always fast delicious,5,"{'subject': 'delivery', 'object': 'food delivery'}",delivery,food delivery
The app’s payment feature failed during an important transaction.,apps payment feature failed important transaction,1,"{'subject': 'feature', 'object': 'apps payment feature transaction'}",feature,apps payment feature transaction
I love how I can do everything in one app. So convenient!,love everything one app convenient,5,"{'subject': 'app', 'object': 'everything app'}",app,everything app
The app’s search feature is slow and unresponsive.,apps search feature slow unresponsive,2,"{'subject': 'feature', 'object': 'apps search feature'}",feature,apps search feature
The ride-hailing feature is so affordable and reliable.,ridehailing feature affordable reliable,4,"{'subject': 'feature', 'object': 'feature reliable'}",feature,feature reliable
The app’s updates have made it much faster and smoother.,apps update made much faster smoother,5,"{'subject': 'update', 'object': 'apps update'}",update,apps update
I love the variety of services available in one app!,love variety service available one app,5,"{'subject': 'service', 'object': 'love variety service app'}",service,love variety service app
The app’s customer support is unhelpful and rude.,apps customer support unhelpful rude,1,"{'subject': 'customer', 'object': 'apps customer rude'}",customer,apps customer rude
The grocery delivery is always on time and well-packaged.,grocery delivery always time wellpackaged,5,"{'subject': 'delivery', 'object': 'grocery delivery time'}",delivery,grocery delivery time
The app’s interface is intuitive and easy to navigate.,apps interface intuitive easy navigate,5,"{'subject': 'apps', 'object': 'apps navigate'}",apps,apps navigate
I love the cashback offers on food delivery!,love cashback offer food delivery,5,"{'subject': 'cashback', 'object': 'love cashback food delivery'}",cashback,love cashback food delivery
The app’s notifications are helpful and not too frequent.,apps notification helpful frequent,5,"{'subject': 'apps', 'object': 'apps notification frequent'}",apps,apps notification frequent
The ride-hailing feature is so convenient for late-night trips.,ridehailing feature convenient latenight trip,4,"{'subject': 'feature', 'object': 'feature trip'}",feature,feature trip
The app’s design is sleek and modern.,apps design sleek modern,3,"{'subject': 'apps', 'object': 'apps modern'}",apps,apps modern
I love how I can pay bills and order food in one app!,love pay bill order food one app,5,"{'subject': 'love', 'object': 'love pay bill order food app'}",love,love pay bill order food app
The app’s search feature is accurate and fast.,apps search feature accurate fast,5,"{'subject': 'apps', 'object': 'apps search feature'}",apps,apps search feature
The food delivery is always hot and fresh. Great service!,food delivery always hot fresh great service,5,"{'subject': 'food', 'object': 'food delivery service'}",food,food delivery service
The app’s payment feature is secure and reliable.,apps payment feature secure reliable,5,"{'subject': 'apps', 'object': 'apps payment feature'}",apps,apps payment feature
I love the rewards program. It’s a great way to save money!,love reward program great way save money,5,"{'subject': 'program', 'object': 'love reward program way money'}",program,love reward program way money
The app’s customer support is quick and helpful.,apps customer support quick helpful,5,"{'subject': 'customer', 'object': 'apps customer helpful'}",customer,apps customer helpful
The grocery delivery is always fresh and on time.,grocery delivery always fresh time,5,"{'subject': 'grocery', 'object': 'grocery delivery time'}",grocery,grocery delivery time
The app’s interface is clean and easy to use.,apps interface clean easy use,4,"{'subject': 'apps', 'object': 'apps use'}",apps,apps use
I love the convenience of booking rides and ordering food in one app!,love convenience booking ride ordering food one app,5,"{'subject': 'love', 'object': 'love convenience booking ride food app'}",love,love convenience booking ride food app
The app’s notifications are timely and useful.,apps notification timely useful,4,"{'subject': 'apps', 'object': 'apps notification'}",apps,apps notification
The ride-hailing feature is so reliable and safe.,ridehailing feature reliable safe,5,"{'subject': 'feature', 'object': 'feature'}",feature,feature
The app’s design is user-friendly and modern.,apps design userfriendly modern,5,"{'subject': 'apps', 'object': 'apps'}",apps,apps
I love the variety of services offered. Truly a super app!,love variety service offered truly super app,5,"{'subject': 'service', 'object': 'love variety service app'}",service,love variety service app
The app’s updates have improved its performance significantly.,apps update improved performance significantly,5,"{'subject': 'apps', 'object': 'apps performance'}",apps,apps performance
The food delivery is always fast and delicious.,food delivery always fast delicious,5,"{'subject': 'delivery', 'object': 'food delivery'}",delivery,food delivery
The app’s payment feature is so convenient and secure.,apps payment feature convenient secure,4,"{'subject': 'payment', 'object': 'apps payment secure'}",payment,apps payment secure
I love the discounts available on grocery delivery!,love discount available grocery delivery,5,"{'subject': 'love', 'object': 'love discount grocery delivery'}",love,love discount grocery delivery
The app’s customer support is responsive and helpful.,apps customer support responsive helpful,5,"{'subject': 'customer', 'object': 'apps customer responsive'}",customer,apps customer responsive
The ride-hailing feature is so affordable and convenient.,ridehailing feature affordable convenient,4,"{'subject': 'feature', 'object': 'feature'}",feature,feature
The app’s interface is intuitive and easy to navigate.,apps interface intuitive easy navigate,5,"{'subject': 'apps', 'object': 'apps navigate'}",apps,apps navigate
I love how I can do everything in one app. It’s amazing!,love everything one app amazing,5,"{'subject': 'app', 'object': 'everything app'}",app,everything app
The app’s notifications are helpful and not too frequent.,apps notification helpful frequent,5,"{'subject': 'apps', 'object': 'apps notification frequent'}",apps,apps notification frequent
The grocery delivery is always fresh and well-packaged.,grocery delivery always fresh wellpackaged,5,"{'subject': 'delivery', 'object': 'grocery delivery'}",delivery,grocery delivery
The app’s design is sleek and modern.,apps design sleek modern,3,"{'subject': 'apps', 'object': 'apps modern'}",apps,apps modern
I love the convenience of booking rides and ordering food in one app!,love convenience booking ride ordering food one app,5,"{'subject': 'love', 'object': 'love convenience booking ride food app'}",love,love convenience booking ride food app
The app’s updates have made it much faster and smoother.,apps update made much faster smoother,5,"{'subject': 'update', 'object': 'apps update'}",update,apps update
The food delivery is always hot and fresh. Great service!,food delivery always hot fresh great service,5,"{'subject': 'food', 'object': 'food delivery service'}",food,food delivery service
The app’s payment feature is secure and reliable.,apps payment feature secure reliable,5,"{'subject': 'apps', 'object': 'apps payment feature'}",apps,apps payment feature
I love the rewards program. It’s a great way to save money!,love reward program great way save money,5,"{'subject': 'program', 'object': 'love reward program way money'}",program,love reward program way money
The app’s customer support is quick and helpful.,apps customer support quick helpful,5,"{'subject': 'customer', 'object': 'apps customer helpful'}",customer,apps customer helpful
The grocery delivery is always fresh and on time.,grocery delivery always fresh time,5,"{'subject': 'grocery', 'object': 'grocery delivery time'}",grocery,grocery delivery time
The app’s interface is clean and easy to use.,apps interface clean easy use,4,"{'subject': 'apps', 'object': 'apps use'}",apps,apps use
I love the convenience of booking rides and ordering food in one app!,love convenience booking ride ordering food one app,5,"{'subject': 'love', 'object': 'love convenience booking ride food app'}",love,love convenience booking ride food app
The app’s notifications are timely and useful.,apps notification timely useful,4,"{'subject': 'apps', 'object': 'apps notification'}",apps,apps notification
The ride-hailing feature is so reliable and safe.,ridehailing feature reliable safe,5,"{'subject': 'feature', 'object': 'feature'}",feature,feature
The app’s design is user-friendly and modern.,apps design userfriendly modern,5,"{'subject': 'apps', 'object': 'apps'}",apps,apps
I love the variety of services offered. Truly a super app!,love variety service offered truly super app,5,"{'subject': 'service', 'object': 'love variety service app'}",service,love variety service app
